StationIndex,Station,Accuracy,Precision,Recall,F1 score
1,Dhaka,0.610485,0.873706,0.610485,0.666532
2,Tangail,0.466443,0.742265,0.466443,0.473706
3,Mymensingh,0.597581,0.875171,0.597581,0.661029
4,Faridpur,0.603638,0.879459,0.603638,0.669018
5,Madaripur,0.555774,0.772907,0.555774,0.551341
6,Srimangal,0.549075,0.871672,0.549075,0.62562
7,Sylhet,0.716209,0.887474,0.716209,0.732214
8,Bogra,0.577473,0.866003,0.577473,0.646654
9,Dinajpur,0.593832,0.798876,0.593832,0.580251
10,Ishurdi,0.640264,0.875776,0.640264,0.689128
11,Rajshahi,0.728346,0.888086,0.728346,0.73926
12,Rangpur,0.669291,0.885141,0.669291,0.705851
13,Sydpur,0.372137,0.779491,0.372137,0.42978
14,Chuadanga,0.534467,0.754992,0.534467,0.523633
15,Jessore,0.685039,0.883204,0.685039,0.713763
16,Khulna,0.695506,0.877675,0.695506,0.71801
17,Mongla,0.315539,0.782647,0.315539,0.384888
18,Satkhira,0.707599,0.881361,0.707599,0.728094
19,Barisal,0.682819,0.877346,0.682819,0.713648
20,Bhola,0.629201,0.880607,0.629201,0.683258
21,Khepupara,0.558084,0.752462,0.558084,0.538997
22,Patuakhali,0.534356,0.779083,0.534356,0.532372
23,Chandpur,0.563212,0.773891,0.563212,0.548393
24,Teknaf,0.587821,0.786056,0.587821,0.570259
25,Chittagong,0.524442,0.761327,0.524442,0.525187
26,Comilla,0.718873,0.881349,0.718873,0.730798
27,Cox's Bazar,0.726269,0.887805,0.726269,0.742593
28,Feni,0.536928,0.809537,0.536928,0.563915
29,Hatiya,0.614277,0.762529,0.614277,0.570791
30,Kutubdia,0.494898,0.764029,0.494898,0.498987
31,M.court,0.683362,0.840592,0.683362,0.677575
32,Rangamati,0.626866,0.88062,0.626866,0.683628
33,Sandwip,0.635894,0.861033,0.635894,0.661485
34,Ambagan,0.313272,0.679859,0.313272,0.354418
35,Sitakunda,0.567949,0.791119,0.567949,0.561118
,,0.589063457,0.827004286,0.589063457,0.611319829
