StationIndex,Station,Average MSE,MAE,Final MSE (at epoch 500),RMSE
1,Dhaka,4.959381,1.442075,1.200328702,1.095595136
2,Tangail,5.253455,1.609438,0.787142273,0.887210388
3,Mymensingh,4.209781,1.3414,0.997121639,0.998559782
4,Faridpur,4.006224,1.307441,2.262624006,1.504202116
5,Madaripur,16.6355,2.663285,1.03218302,1.015964084
6,Srimangal,16.653138,2.767083,2.497229477,1.580262471
7,Sylhet,12.300431,2.077293,2.418298526,1.555087948
8,Bogra,10.221877,2.089107,2.044293119,1.429787788
9,Dinajpur,15.880038,2.617183,1.234666592,1.111155521
10,Ishurdi,9.030956,2.183188,1.901296173,1.378874966
11,Rajshahi,10.042155,1.87145,2.085304561,1.444058365
12,Rangpur,11.737966,2.062848,1.822790388,1.350107547
13,Sydpur,20.841488,3.422027,0.789756872,0.888682661
14,Chuadanga,17.419795,2.721903,0.775860899,0.880829665
15,Jessore,10.923841,2.021922,1.86099592,1.364183243
16,Khulna,10.911382,2.007989,2.221868465,1.490593326
17,Mongla,21.923054,3.649806,1.312493882,1.145641254
18,Satkhira,11.265274,2.00259,0.949392019,0.974367497
19,Barisal,10.330448,1.954238,1.042344328,1.020952657
20,Bhola,11.261674,2.106744,1.013991425,1.006971412
21,Khepupara,12.448772,2.284613,0.969003799,0.984379906
22,Patuakhali,13.243896,2.429007,1.098318822,1.048007072
23,Chandpur,12.231629,2.272697,0.816096198,0.903380428
24,Teknaf,13.03172,2.359197,0.984618369,0.992279381
25,Chittagong,12.820363,2.406155,1.774922156,1.332262045
26,Comilla,9.687974,1.88458,0.917790677,0.958013923
27,Cox's Bazar,10.283938,1.890064,1.976887675,1.406018376
28,Feni,13.514124,2.39538,1.014153774,1.007052021
29,Hatiya,12.148668,2.206219,0.906053181,0.951868258
30,Kutubdia,20.344356,2.982359,1.665570718,1.29056992
31,M.court,13.074919,2.139879,0.926314456,0.962452314
32,Rangamati,11.566917,2.198487,0.918213429,0.958234538
33,Sandwip,12.694933,2.160157,2.059725075,1.435174232
34,Ambagan,25.173466,3.720231,1.409450345,1.18720274
35,Sitakunda,12.948227,2.393559,0.922348202,0.960389609
,,12.60062171,2.275474114,1.388841405,1.178491156
